id	title	url	bytes
000099	Mortal Kombat: Deadly Alliance	https://en.wikipedia.org/wiki/Mortal_Kombat:_Deadly_Alliance	17578
000100	Need for Speed: Underground	https://en.wikipedia.org/wiki/Need_for_Speed:_Underground	13322
000101	Ninja Gaiden II: The Dark Sword of Chaos	https://en.wikipedia.org/wiki/Ninja_Gaiden_II:_The_Dark_Sword_of_Chaos	14751
000102	Phantasy Star (video game)	https://en.wikipedia.org/wiki/Phantasy_Star_(video_game)	22957
000103	Need for Speed: Porsche Unleashed	https://en.wikipedia.org/wiki/Need_for_Speed:_Porsche_Unleashed	6909
000104	Prince of Persia (1989 video game)	https://en.wikipedia.org/wiki/Prince_of_Persia_(1989_video_game)	16466
000105	Ratchet & Clank: Going Commando	https://en.wikipedia.org/wiki/Ratchet_&_Clank:_Going_Commando	13531
000106	Resident Evil 2	https://en.wikipedia.org/wiki/Resident_Evil_2	40573
000107	Samurai Shodown IV	https://en.wikipedia.org/wiki/Samurai_Shodown_IV	3432
000108	Silent Hill 2	https://en.wikipedia.org/wiki/Silent_Hill_2	26806
000109	Sonic the Hedgehog 3	https://en.wikipedia.org/wiki/Sonic_the_Hedgehog_3	24532
000110	Soulcalibur (video game)	https://en.wikipedia.org/wiki/Soulcalibur_(video_game)	15503
000111	StarCraft (video game)	https://en.wikipedia.org/wiki/StarCraft_(video_game)	32933
000112	Tekken 4	https://en.wikipedia.org/wiki/Tekken_4	16786
000113	The King of Fighters EX2: Howling Blood	https://en.wikipedia.org/wiki/The_King_of_Fighters_EX2:_Howling_Blood	4408
000114	Tomb Raider: Chronicles	https://en.wikipedia.org/wiki/Tomb_Raider:_Chronicles	16006
000115	Yaris (video game)	https://en.wikipedia.org/wiki/Yaris_(video_game)	3300
000116	V-Rally (video game)	https://en.wikipedia.org/wiki/V-Rally_(video_game)	12836
000117	Beetle Adventure Racing	https://en.wikipedia.org/wiki/Beetle_Adventure_Racing	6795
000118	Warcraft III: Reign of Chaos	https://en.wikipedia.org/wiki/Warcraft_III:_Reign_of_Chaos	35059
000119	Multiplayer video game	https://en.wikipedia.org/wiki/Multiplayer_video_game	14808
000120	Day of Defeat	https://en.wikipedia.org/wiki/Day_of_Defeat	6943
000121	Firearms (video game)	https://en.wikipedia.org/wiki/Firearms_(video_game)	5577
000122	Gun Fight	https://en.wikipedia.org/wiki/Gun_Fight	10228
000123	Natural Selection (video game)	https://en.wikipedia.org/wiki/Natural_Selection_(video_game)	8318
000124	Pac-Man Vs.	https://en.wikipedia.org/wiki/Pac-Man_Vs.	7616
000125	Spasim	https://en.wikipedia.org/wiki/Spasim	7709
000126	Urban Terror	https://en.wikipedia.org/wiki/Urban_Terror	3462
000127	Warhawk (2007 video game)	https://en.wikipedia.org/wiki/Warhawk_(2007_video_game)	17480
000128	The 3-D Battles of WorldRunner	https://en.wikipedia.org/wiki/The_3-D_Battles_of_WorldRunner	5940
000129	The 7th Guest	https://en.wikipedia.org/wiki/The_7th_Guest	22069
000130	A-Train III	https://en.wikipedia.org/wiki/A-Train_III	5241
000131	Adventure (1980 video game)	https://en.wikipedia.org/wiki/Adventure_(1980_video_game)	20274
000132	Adventure Island II	https://en.wikipedia.org/wiki/Adventure_Island_II	3973
000133	After Burner	https://en.wikipedia.org/wiki/After_Burner	15708
000134	Akalabeth: World of Doom	https://en.wikipedia.org/wiki/Akalabeth:_World_of_Doom	7629
000135	Alex Kidd in Miracle World	https://en.wikipedia.org/wiki/Alex_Kidd_in_Miracle_World	5371
000136	Altered Space	https://en.wikipedia.org/wiki/Altered_Space	775
000137	American McGee's Alice	https://en.wikipedia.org/wiki/American_McGee's_Alice	25330
000138	Ancient Domains of Mystery	https://en.wikipedia.org/wiki/Ancient_Domains_of_Mystery	11166
000139	APB (1987 video game)	https://en.wikipedia.org/wiki/APB_(1987_video_game)	8955
000140	Apocalypse (1990 video game)	https://en.wikipedia.org/wiki/Apocalypse_(1990_video_game)	1179
000141	Armour-Geddon	https://en.wikipedia.org/wiki/Armour-Geddon	1713
000142	Ascendancy (video game)	https://en.wikipedia.org/wiki/Ascendancy_(video_game)	9497
000143	Assault Suits Valken	https://en.wikipedia.org/wiki/Assault_Suits_Valken	7968
000144	Athena (video game)	https://en.wikipedia.org/wiki/Athena_(video_game)	4324
000145	Autoduel	https://en.wikipedia.org/wiki/Autoduel	4016
000146	B.C. II: Grog's Revenge	https://en.wikipedia.org/wiki/B.C._II:_Grog's_Revenge	2637
000147	Bangai-O	https://en.wikipedia.org/wiki/Bangai-O	10968
000148	The Bard's Tale (1985 video game)	https://en.wikipedia.org/wiki/The_Bard's_Tale_(1985_video_game)	22214
000149	Batman Returns (Sega video games)	https://en.wikipedia.org/wiki/Batman_Returns_(Sega_video_games)	3695
000150	Battleships (video game)	https://en.wikipedia.org/wiki/Battleships_(video_game)	1317
000151	Beneath a Steel Sky	https://en.wikipedia.org/wiki/Beneath_a_Steel_Sky	23877
000152	Beyond Good & Evil (video game)	https://en.wikipedia.org/wiki/Beyond_Good_&_Evil_(video_game)	25745
000153	The Birds and the Bees II: Antics	https://en.wikipedia.org/wiki/The_Birds_and_the_Bees_II:_Antics	918
000154	Blackthorne	https://en.wikipedia.org/wiki/Blackthorne	6268
000155	Blast Corps	https://en.wikipedia.org/wiki/Blast_Corps	13779
000156	Bombuzal	https://en.wikipedia.org/wiki/Bombuzal	2986
000157	A Boy and His Blob: Trouble on Blobolonia	https://en.wikipedia.org/wiki/A_Boy_and_His_Blob:_Trouble_on_Blobolonia	14863
000158	Brave Fencer Musashi	https://en.wikipedia.org/wiki/Brave_Fencer_Musashi	12084
000159	Bubble Dizzy	https://en.wikipedia.org/wiki/Bubble_Dizzy	896
000160	Bureaucracy (video game)	https://en.wikipedia.org/wiki/Bureaucracy_(video_game)	3039
000161	Caesar (video game)	https://en.wikipedia.org/wiki/Caesar_(video_game)	2863
000162	Carmageddon II: Carpocalypse Now	https://en.wikipedia.org/wiki/Carmageddon_II:_Carpocalypse_Now	2797
000163	Casino Tycoon (video game)	https://en.wikipedia.org/wiki/Casino_Tycoon_(video_game)	887
000164	Castle of the Winds	https://en.wikipedia.org/wiki/Castle_of_the_Winds	6094
000165	Chakan: The Forever Man	https://en.wikipedia.org/wiki/Chakan:_The_Forever_Man	4714
000166	Chase H.Q.	https://en.wikipedia.org/wiki/Chase_H.Q.	10612
000167	Chrono Cross	https://en.wikipedia.org/wiki/Chrono_Cross	39653
000168	Clannad (video game)	https://en.wikipedia.org/wiki/Clannad_(video_game)	45700
